Название;Цена, руб.;Артикул;Стартовый ток;Емкость;Номинальное напряжение;Клемы;Полярность;Длина;Ширина;Высота;Вес;Изготовитель;Страна производства
ЗВЕРЬ EFB Азия 95 Ач (D31R) (1);10690;00005973;1170А;95,0 Ач;12В;Толстые;Прямая;305 мм.;175 мм.;221 мм.;22.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ (Ca/Ca) Азия 82 Ач (D26L) (0);8670;00005972;980А;82,0 Ач;12В;Толстые;Обратная;260 мм.;172 мм.;220 мм.;18 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ EFB Азия 95 Ач (D31L) (0);10690;00005969;1170А;95,0 Ач;12В;Толстые;Обратная;305 мм.;175 мм.;221 мм.;22.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ЗВЕРЬ EFB Азия 82 Ач (D26L) (0);9190;00005968;770А;82,0 Ач;12В;Толстые;Обратная;265 мм.;173 мм.;223 мм.;23.5 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь (Ca/Ca)  77 Ач прям.п. (1);7880;00005962;800А;77,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;17 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь (Ca/Ca)  77 Ач обр.п. (0);7880;00005963;800А;77,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;17 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь (Ca/Ca)  65 Ач прям.п. (1);7060;00005966;700А;65,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь (Ca/Ca)  100 Ач прям.п. (1);9960;00005964;940А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;23.4 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь (Ca/Ca)  100 Ач обр.п. (0);9960;00005965;940А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;23.4 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ EFB 77 Ач прям.п. (1);7590;00005961;770А;77,0 Ач;12В;Толстые;Прямая;276 мм.;175 мм.;1901 мм.;17.7 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC 100 Ач прям.п. (1);8530;00005960;900А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;23.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ARCTIC 50 Ач  (B24L) обр.п. (0);6900;00005959;470А;50,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;13.8 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Solite 60038 100 Ач обр. п. (0);10140;00005956;800А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;22.5 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite 57413 74 Ач прям.п. (1);8100;00005955;690А;74,0 Ач;12В;Толстые;Прямая;275 мм.;175 мм.;190 мм.;17.6 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite 57412 74 Ач обр. п. (0);8100;00005954;690А;74,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;190 мм.;17.6 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite 57113 71 Ач (низ) обр. п. (0);7250;00005951;670А;71,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;175 мм.;16.6 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite 56220 62 Ач прям.п. (1);6990;00005953;600А;62,0 Ач;12В;Толстые;Прямая;240 мм.;175 мм.;190 мм.;14.5 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite 56219 62 Ач обр. п. (0);6990;00005952;600А;62,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;190 мм.;14.5 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Зверь EFB 77 Ач прям.п. (1);8350;00005944;820А;77,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;18.5 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь EFB 77 Ач обр.п. (0);8350;00005945;820А;77,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;18.5 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь EFB 60 Ач прям.п. (1);7040;00005942;670А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.4 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь EFB 60 Ач обр.п. (0);7040;00005943;670А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15.4 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь EFB 100 Ач обр.п. (0);10490;00005946;960А;100,0 Ач;12В;Толстые;Обратная;350 мм.;175 мм.;190 мм.;24 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ EFB 77 Ач обр.п. (0);7590;00005949;770А;77,0 Ач;12В;Толстые;Обратная;276 мм.;175 мм.;190 мм.;17.7 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ EFB 60 Ач прям.п. (1);6110;00005947;620А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ EFB 60 Ач обр.п. (0);6110;00005948;620А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Forse EFB 74 Ач прям.п.(1);9080;00005950;710А;74,0 Ач;12В;Толстые;Прямая;276 мм.;175 мм.;190 мм.;19.2 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
WPR 74 Ач (низ) обр.п. (0);5590;00005939;760А;74,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;175 мм.;17.2 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
WPR 65 Ач  обр.п. (0);4720;00005936;660А;65,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;16 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
WPR 55 Ач прям.п. (1);4030;00005933;550А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.6 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
WPR 100 Ач прям.п. (1);7350;00005941;910А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;23.1 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
Numax Silver Euro 61044 110 Ач обр. п. (0);10430;00005929;850А;110,0 Ач;12В;Толстые;Обратная;388 мм.;175 мм.;195 мм.;23.1 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver Euro 58539 85 Ач (низ) обр. п. (0);9750;00005931;750А;85,0 Ач;12В;Толстые;Обратная;315 мм.;175 мм.;175 мм.;18.9 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver Euro 57539 75 Ач (низ) обр. п. (0);7890;00005930;670А;75,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;175 мм.;16.9 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver Euro 56377 63 Ач (низ) обр. п. (0);7290;00005932;640А;63,0 Ач;12В;Толстые;Обратная;240 мм.;175 мм.;175 мм.;14.6 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Зверь (Ca/Ca)  60 Ач прям.п. (1);6390;00005920;650А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.4 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь (Ca/Ca)  60 Ач обр.п. (0);6640;00005927;650А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;15.4 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
TAB AGM Stop&Go 95 Ач обр. п. (0);20670;00005919;850А;95,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;26.2 кг.;TAB d.d.;Республика Словения г.Межица
TAB AGM Stop&Go 80 Ач обр. п. (0);18130;00005918;800А;80,0 Ач;12В;Толстые;Обратная;315 мм.;175 мм.;190 мм.;23.3 кг.;TAB d.d.;Республика Словения г.Межица
TAB AGM Stop&Go 70 Ач обр. п. (0);15950;00005917;760А;70,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;20.9 кг.;TAB d.d.;Республика Словения г.Межица
TAB AGM Stop&Go 60 Ач обр. п. (0);14500;00005916;680А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;17.9 кг.;TAB d.d.;Республика Словения г.Межица
TAB AGM Stop&Go 105 Ач обр. п. (0);18850;00005915;950А;105,0 Ач;12В;Толстые;Обратная;390 мм.;175 мм.;190 мм.;29.3 кг.;TAB d.d.;Республика Словения г.Межица
ISKRA ENERGY 74 Ач обр. п. (0);5660;00005913;680А;74,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;17 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
ISKRA ENERGY 60 Ач  прям. п. (1);4780;00005911;540А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.2 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
ISKRA ENERGY 60 Ач  обр. п. (0);4780;00005910;540А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;14.2 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
ISKRA ENERGY 110 Ач  обр. п. (0);8580;00005909;920А;110,0 Ач;12В;Толстые;Обратная;394 мм.;175 мм.;190 мм.;24.5 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Bosch 0092S40260 70 а/ч L (азия)(0);9920;00001080;630А;70,0 Ач;12В;Толстые;Обратная;261 мм.;175 мм.;220 мм.;17.2 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
DELTA CT 12025 2,5 Ач;1270;00001866;30А;2,5 Ач;12В;4F;Обратная;113 мм.;38 мм.;87 мм.;0.9 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1214 14 Ач;3940;00001863;200А;14,0 Ач;12В;4F;Прямая;150 мм.;87 мм.;148 мм.;5 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1212.2 14 Ач;3500;00001862;200А;14,0 Ач;12В;4F;Прямая;152 мм.;70 мм.;150 мм.;3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1212.1 12 Ач;3300;00001861;180А;12,0 Ач;12В;4F;Прямая;150 мм.;70 мм.;135 мм.;3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1212 12 Ач;3000;00001860;180А;12,0 Ач;12В;4F;Прямая;150 мм.;87 мм.;130 мм.;3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1208 8 Ач;2140;00001855;85А;8,0 Ач;12В;4F;Прямая;150 мм.;87 мм.;107 мм.;3.4 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1216.1 16 Ач;5390;00005843;230А;16,0 Ач;12В;4F;Прямая;151 мм.;88 мм.;164 мм.;5.25 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1209.1 9 Ач;2770;00005842;115А;9,0 Ач;12В;4F;Прямая;151 мм.;71 мм.;107 мм.;2.65 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1205.1 5 Ач;1970;00005841;65А;5,0 Ач;12В;4F;Обратная;120 мм.;61 мм.;129 мм.;1.94 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1216 16 Ач;6080;00001864;200А;16,0 Ач;12В;4F;Обратная;205 мм.;70 мм.;162 мм.;6 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1210.1 10 Ач;3040;00001858;90А;10,0 Ач;12В;4F;Прямая;150 мм.;87 мм.;93 мм.;3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1205 5 Ач;1710;00001852;80А;5,0 Ач;12В;4F;Обратная;114 мм.;69 мм.;109 мм.;1.92 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
Black Horse 190 Ач (конус) прям.п.(4);12220;00005822;1250А;190,0 Ач;12В;Толстые;Прямая;513 мм.;223 мм.;223 мм.;41.4 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
Зверь 140 Ач обр.п. (3);12400;00005820;900А;140,0 Ач;12В;Толстые;Обратная;514 мм.;175 мм.;210 мм.;41 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ARCTIC 80 Ач  (D26R) прям.п. (1);9550;00005806;730А;80,0 Ач;12В;Толстые;Прямая;260 мм.;168 мм.;220 мм.;18.6 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
Solite EFB N55 50 Ач (B 24R) (1);6670;00005805;440А;50,0 Ач;12В;Тонкие;Прямая;236 мм.;128 мм.;220 мм.;13.8 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Solite EFB N55 50 Ач (B 24L) (0);6670;00005804;440А;50,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;13.8 кг.;HYUNDAI SUNGWOO SOLITE CO.,LTD;Республика Корея г.Сеул
Numax Silver EFB 85 Ач (D 31R) T110R (1);13490;00005798;830А;85,0 Ач;12В;Толстые;Прямая;310 мм.;172 мм.;220 мм.;22.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver EFB 85 Ач (D 31L) T110L (0);13490;00005797;830А;85,0 Ач;12В;Толстые;Обратная;310 мм.;172 мм.;220 мм.;22.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver EFB 75 Ач (D 26L) S95L (0);11820;00005796;760А;75,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;19.7 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver EFB 70 Ач (D 23L) Q85L (0);10640;00005795;700А;70,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;17.5 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver EFB 50 Ач (B 24R) N55R (1);8000;00005794;490А;50,0 Ач;12В;Тонкие;Прямая;236 мм.;128 мм.;220 мм.;13.6 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver EFB 50 Ач (B 24L) N55L (0);8000;00005793;490А;50,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;13.6 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 135 Ач (150 F 51L) (0);15500;00005799;930А;135,0 Ач;12В;Толстые;Обратная;505 мм.;180 мм.;240 мм.;34 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
TITAN ARCTIC 62 Aч прям. п. (1);7300;00005770;660А;62,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TUBOR EFB 80 Ач (D 26L) обр.п. (0);10100;00005772;710А;80,0 Ач;12В;Толстые;Обратная;255 мм.;170 мм.;220 мм.;18.7 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
ARCTIC 95 Ач  (D31R) прям.п. (1);11500;00005769;910А;95,0 Ач;12В;Толстые;Прямая;310 мм.;172 мм.;220 мм.;23 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
ARCTIC 95 Ач  (D31L) обр.п. (0);11500;00005768;910А;95,0 Ач;12В;Толстые;Обратная;310 мм.;172 мм.;220 мм.;23 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
ARCTIC 80 Ач  (D26L) обр.п. (0);9550;00005767;730А;80,0 Ач;12В;Толстые;Обратная;260 мм.;168 мм.;220 мм.;18.6 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
ARCTIC 65 Ач  (D23L) обр.п. (0);8150;00005766;630А;65,0 Ач;12В;Толстые;Обратная;230 мм.;168 мм.;220 мм.;16.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
АКТЕХ 140 Ач прям.п. (4);15340;00000251;900А;140,0 Ач;12В;Толстые;Прямая;514 мм.;175 мм.;210 мм.;40 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
TAB Polar 73 Ач (низ) обр.п. (0);7200;00005750;630А;73,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;16.2 кг.;TAB d.d.;Республика Словения г.Межица
TAB Polar 60 Ач прям.п. (1);6240;00005751;600А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.5 кг.;TAB d.d.;Республика Словения г.Межица
TAB Polar 110 Ач обр.п. (0);12390;00005749;1000А;110,0 Ач;12В;Толстые;Обратная;390 мм.;175 мм.;190 мм.;25 кг.;TAB d.d.;Республика Словения г.Межица
АКТЕХ CLASSIC  90 Ач (D 31 L) обр. п. (0);8840;00005746;780А;90,0 Ач;12В;Толстые;Обратная;306 мм.;173 мм.;202 мм.;21 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC  70 Ач (D 26 R) прям. п. (1);7210;00005745;580А;70,0 Ач;12В;Толстые;Прямая;265 мм.;173 мм.;202 мм.;17.87 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC  70 Ач (D 26 L) обр. п. (0);7210;00005744;580А;70,0 Ач;12В;Толстые;Обратная;265 мм.;173 мм.;202 мм.;17.8 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC  50Ач (В 24 R) прям. п. (1);5430;00005743;470А;50,0 Ач;12В;Тонкие;Прямая;238 мм.;129 мм.;223 мм.;13 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC  50Ач (В 24 L) обр. п. (0);5430;00005742;470А;50,0 Ач;12В;Тонкие;Обратная;238 мм.;129 мм.;223 мм.;13 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Spark 90 Ач обр.п. (0);7350;00005733;750А;90,0 Ач;12В;Толстые;Обратная;376 мм.;75 мм.;190 мм.;25 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC  90 Ач (D 31 R) прям. п. (1);8840;00005735;780А;90,0 Ач;12В;Толстые;Прямая;306 мм.;173 мм.;202 мм.;21 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC  65 Ач (D 23 L) обр. п. (0);6190;00005734;550А;65,0 Ач;12В;Толстые;Обратная;232 мм.;173 мм.;202 мм.;15.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
TESLA PREMIUM ENERGY 80 Ач прям. п. (1);6890;00005724;770А;80,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;17.2 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 75 Ач прям. п. (1);6460;00005721;720А;75,0 Ач;12В;Толстые;Прямая;278 мм.;175 мм.;190 мм.;16.5 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 75 Ач (низ) обр. п. (0);6460;00005720;720А;75,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;175 мм.;16.8 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 60 Ач прям. п. (1);5540;00005718;620А;60,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;14.4 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 60 Ач обр. п. (0);5540;00005716;620А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;190 мм.;14.4 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 60 Ач (низ) обр. п. (0);5540;00005717;620А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;14.4 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 55 Ач прям. п. (1);4810;00005715;540А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;13.4 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 110 Ач прям. п. (1);9160;00005713;970А;110,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;22.4 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 100 Ач прям. п. (1);8640;00005711;900А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;22 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
TESLA PREMIUM ENERGY 100 Ач обр. п. (0);8640;00005709;900А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;22 кг.;BLACK HORSE -FAS DOO BEOGRAD;Сербия г.Белград
АКТЕХ CLASSIC 62 Ач (низ) прям.п. (1);4960;00005708;620А;62,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;175 мм.;15.2 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
Зверь 190 Ач обр.п. (3);17050;00005705;1400А;190,0 Ач;12В;Толстые;Обратная;514 мм.;218 мм.;217 мм.;55 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ZEUS EFB 75 Ач обр.п. (0);5250;00005701;720А;75,0 Ач;12В;Толстые;Обратная;279 мм.;177 мм.;190 мм.;18.6 кг.;"АО ""АКОМ""";Российская Федерация г. Жигулевск
ZEUS EFB 60 Ач прям.п. (1);4500;00005698;560А;60,0 Ач;12В;Толстые;Прямая;245 мм.;177 мм.;190 мм.;15 кг.;"АО ""АКОМ""";Российская Федерация г. Жигулевск
SUPER FB UltraBattery EFB Q85 70 Ач (D23 L) (0);16000;00005689;580А;70,0 Ач;12В;Толстые;Обратная;229 мм.;167 мм.;225 мм.;17.2 кг.;THE FURUKAWA BATTERY CO.,LTD;Япония г.Иокогама
DELTA CT 1204 4 Ач;1400;00001851;50А;4,0 Ач;12В;4F;Обратная;113 мм.;70 мм.;89 мм.;1.53 кг.;SHENG CHANG TECH CO.,LTD;Вьетнам г. Бен Кат
Tungstone EFB 65 Ач прям.п. (1);4880;00005653;650А;65,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.6 кг.;"ООО Рязанский аккумуляторный завод ""Тангстоун""";Российская Федерация г.Рязань
Tungstone EFB 210 Ач прям.п. (4);12160;00005660;1450А;210,0 Ач;12В;Толстые;Прямая;513 мм.;223 мм.;190 мм.;42.6 кг.;"ООО Рязанский аккумуляторный завод ""Тангстоун""";Российская Федерация г.Рязань
TITAN ARCTIC 55 Aч прям. п. (1);6900;00005647;550А;55,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;15.4 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
TITAN ARCTIC 100 Aч прям. п. (1);11550;00005646;950А;100,0 Ач;12В;Толстые;Прямая;353 мм.;175 мм.;190 мм.;26.5 кг.;"ООО ""ТУБОР""";Российская Федерация Нижегородская обл. г.Бор
DELTA CT 12201 20Ач;4960;00001868;180А;18,0 Ач;12В;4F;Обратная;180 мм.;87 мм.;153 мм.;5.73 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1211 11  Ач;3570;00001859;135А;11,0 Ач;12В;4F;Прямая;150 мм.;87 мм.;110 мм.;3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1210 10 Ач;2370;00001857;100А;10,0 Ач;12В;4F;Прямая;137 мм.;77 мм.;138 мм.;3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1209 9 Ач;2550;00001856;135А;9,0 Ач;12В;4F;Прямая;152 мм.;87 мм.;107 мм.;3 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
DELTA CT 1207 7 Ач;1930;00001853;105А;7,0 Ач;12В;4F;Прямая;152 мм.;87 мм.;95 мм.;2.6 кг.;FUJIAN MINHUA POWER SOURCE CO.,LTD;Китайская народная республика, г.Фуджиан
Spark ECO 190 Ач (болт) прям.п. (4);13050;00005637;1250А;190,0 Ач;12В;Под болт;Прямая;513 мм.;215 мм.;210 мм.;38.4 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
BARS Asia 65 Ач (75 D 23 L) (0);5590;00005444;600А;65,0 Ач;12В;Толстые;Обратная;230 мм.;170 мм.;220 мм.;15.5 кг.;"ТОО ""Кайнар АКБ""";Республика Казахстан г.Талдыкорган
АКТЕХ CLASSIC 90 Ач прям.п. (1);9150;00005401;850А;90,0 Ач;12В;Толстые;Прямая;352 мм.;175 мм.;190 мм.;23.5 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC 77 Ач прям.п. (1);7290;00005399;750А;77,0 Ач;12В;Толстые;Прямая;275 мм.;175 мм.;190 мм.;19 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC 77 Ач обр.п. (0);7290;00005400;750А;77,0 Ач;12В;Толстые;Обратная;275 мм.;175 мм.;190 мм.;19 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
АКТЕХ CLASSIC 64 Ач прям.п. (1);6090;00005398;640А;64,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16.8 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
